,tweet_id,favorites,retweets
491,813112105746448384,11162,3067
492,813096984823349248,11349,4009
493,813081950185472002,10652,3078
494,813066809284972545,8585,2160
495,813051746834595840,22607,8147
496,812781120811126785,8176,2123
497,812747805718642688,0,7724
498,812709060537683968,7146,1592
499,812503143955202048,6555,1363
500,812466873996607488,8624,2140
501,812372279581671427,14789,4087
502,811985624773361665,7839,1562
503,811744202451197953,8149,1790
504,811647686436880384,6033,825
505,811627233043480576,13835,3489
506,811386762094317568,22567,7119
507,810984652412424192,5756,1591
508,810896069567610880,9772,1990
509,810657578271330305,11834,2939
510,810284430598270976,38302,12709
511,810254108431155201,15856,3732
512,809920764300447744,16727,4340
513,809808892968534016,0,5458
514,809448704142938112,7480,1635
515,809220051211603969,21536,6268
516,809084759137812480,14276,3899
517,808838249661788160,10912,3379
518,808733504066486276,8539,2410
519,808501579447930884,12198,2894
520,808344865868283904,45935,23102
521,808134635716833280,0,6646
522,808106460588765185,9415,2432
523,808001312164028416,13587,3934
524,807621403335917568,15755,4104
525,807106840509214720,121848,60344
526,807059379405148160,0,8180
527,807010152071229440,14073,4252
528,806629075125202948,81286,38893
529,806620845233815552,0,6158
530,806576416489959424,5237,2139
531,806542213899489280,11037,2637
532,806242860592926720,0,13045
533,806219024703037440,6932,1338
534,805958939288408065,0,5997
535,805932879469572096,8940,2124
536,805826884734976000,7118,2039
537,805823200554876929,0,8974
538,805520635690676224,6198,1841
539,805487436403003392,9477,2819
540,805207613751304193,8414,1897
541,804738756058218496,14868,4297
542,804475857670639616,6655,2237
543,804413760345620481,0,3581
544,804026241225523202,48271,18064
545,803773340896923648,10866,3090
546,803692223237865472,0,8280
547,803638050916102144,11902,4622
548,803380650405482500,8377,2072
549,803321560782307329,0,5929
550,803276597545603072,10845,2756
551,802952499103731712,9762,2238
552,802624713319034886,0,3263
553,802600418706604034,7700,1637
554,802572683846291456,9675,2796
555,802323869084381190,17588,6518
556,802265048156610565,6920,1516
557,802239329049477120,9818,2904
558,802185808107208704,0,297
559,801958328846974976,8352,1905
560,801854953262350336,1907,261
561,801538201127157760,8871,2296
562,801285448605831168,6561,926
563,801167903437357056,26547,6646
564,801127390143516673,0,4438
565,801115127852503040,8747,2327
566,800859414831898624,747,107
567,800855607700029440,0,1814
568,800751577355128832,11373,3095
569,800513324630806528,14224,3354
570,800459316964663297,10228,2402
571,800443802682937345,0,4815
572,800388270626521089,12069,3130
573,800188575492947969,0,4397
574,800141422401830912,16563,2853
575,800018252395122689,30738,14686
576,799774291445383169,0,5229
577,799757965289017345,9096,2411
578,799422933579902976,8699,2131
579,799308762079035393,0,6181
580,799297110730567681,10747,3088
581,799063482566066176,8770,2742
582,798933969379225600,14269,4997
583,798925684722855936,8047,1602
584,798705661114773508,0,7381
585,798701998996647937,0,8715
586,798697898615730177,0,7251
587,798694562394996736,0,5534
588,798686750113755136,0,2593
589,798682547630837760,0,5270
590,798673117451325440,0,6197
591,798665375516884993,0,4335
592,798644042770751489,0,2064
593,798628517273620480,0,2193
594,798585098161549313,0,6375
595,798576900688019456,0,6547
596,798340744599797760,0,3750
597,798209839306514432,11247,2844
598,797971864723324932,12629,3501
599,797545162159308800,15713,5419
600,797236660651966464,21684,7398
601,797165961484890113,249,31
602,796904159865868288,0,9937
603,796865951799083009,8310,2120
604,796759840936919040,12874,3412
605,796563435802726400,0,8155
606,796484825502875648,8212,1960
607,796387464403357696,11931,4650
608,796177847564038144,0,15962
609,796149749086875649,35059,15962
610,796125600683540480,5349,1988
611,796116448414461957,9846,2701
612,796080075804475393,9141,2588
613,796031486298386433,11706,4116
614,795464331001561088,54021,26564
615,795400264262053889,10942,3195
616,795076730285391872,17594,6049
617,794983741416415232,0,3763
618,794926597468000259,11138,2583
619,794355576146903043,0,11482
620,794332329137291264,10363,2946
621,794205286408003585,9969,3689
622,793962221541933056,18242,5458
623,793845145112371200,9967,2095
624,793614319594401792,0,3490
625,793601777308463104,8644,1825
626,793500921481273345,11593,2660
627,793286476301799424,26698,10275
628,793271401113350145,9367,2636
629,793256262322548741,21648,9296
630,793241302385262592,11402,3662
631,793226087023144960,10662,3192
632,793210959003287553,9677,3143
633,793195938047070209,16546,6274
634,793180763617361921,7500,2221
635,793165685325201412,10184,3101
636,793150605191548928,6689,1905
637,793135492858580992,7008,2780
638,793120401413079041,13755,4356
639,792913359805018113,15554,4485
640,792883833364439040,12262,4755
641,792773781206999040,7960,1876
642,792394556390137856,14609,4777
643,792050063153438720,7786,2005
644,791821351946420224,0,23442
645,791784077045166082,0,10768
646,791780927877898241,0,4229
647,791774931465953280,48897,24747
648,791672322847637504,12731,3490
649,791406955684368384,14219,4590
650,791312159183634433,9519,2837
651,791026214425268224,0,4586
652,790987426131050500,10721,2385
653,790946055508652032,17986,5231
654,790723298204217344,0,2589
655,790698755171364864,8878,2126
656,790581949425475584,22415,7992
657,790337589677002753,8474,2081
658,790277117346975746,13587,3574
659,790227638568808452,0,3983
660,789986466051088384,10014,2589
661,789960241177853952,0,4639
662,789903600034189313,11261,4600
663,789628658055020548,8151,1984
664,789599242079838210,7342,2161
665,789530877013393408,12744,3763
666,789314372632018944,9318,2563
667,789280767834746880,0,5517
668,789268448748703744,9868,2879
669,789137962068021249,10515,3110
670,788908386943430656,29655,13808
671,788765914992902144,29708,11482
672,788552643979468800,0,8038
673,788412144018661376,16871,5904
674,788178268662984705,7835,2364
675,788150585577050112,6654,1448
676,788070120937619456,0,3803
677,788039637453406209,6657,1479
678,787810552592695296,9397,3397
679,787717603741622272,11048,3097
680,787397959788929025,11739,3156
681,787322443945877504,8431,1940
682,787111942498508800,0,7470
683,786963064373534720,28767,8908
684,786729988674449408,0,2691
685,786709082849828864,19692,6780
686,786664955043049472,11546,2863
687,786595970293370880,10175,3450
688,786363235746385920,11806,3901
689,786286427768250368,8630,3182
690,786233965241827333,16566,5315
691,786051337297522688,1553,171
692,786036967502913536,0,7870
693,785927819176054784,12286,3523
694,785872687017132033,7233,2026
695,785639753186217984,8443,2466
696,785533386513321988,9857,2238
697,785515384317313025,6603,1401
698,785264754247995392,7852,1825
699,785170936622350336,13085,5408
700,784826020293709826,10951,3581
701,784517518371221505,9699,2821
702,784431430411685888,6151,1423
703,784183165795655680,21741,8974
704,784057939640352768,32341,12401
